Rise of the Eldrazi	roe	248	Zendikar
Worldwake	wwk	145	Zendikar
Zendikar	zen	269	Zendikar
Alara Reborn	arb	145	Shards of Alara
Conflux	cfx	145	Shards of Alara
Shards of Alara	ala	249	Shards of Alara
Eventide	eve	180	Shadowmoor
Shadowmoor	shm	301	Shadowmoor
Morningtide	mt	150	Lorwyn
Lorwyn	lw	301	Lorwyn
Future Sight	fut	180	Time Spiral
Planar Chaos	pc	168	Time Spiral
Time Spiral	ts	301	Time Spiral
"Time Spiral ""Timeshifted"""	tsts	122	Time Spiral
Coldsnap	cs	155	Ice Age
Alliances	ai	199	Ice Age
Ice Age	ia	383	Ice Age
Dissension	di	190	Ravnica
Guildpact	gp	165	Ravnica
Ravnica: City of Guilds	rav	306	Ravnica: City of Guilds
Saviors of Kamigawa	sok	170	Kamigawa
Betrayers of Kamigawa	bok	170	Kamigawa
Champions of Kamigawa	chk	317	Kamigawa
Fifth Dawn	5dn	165	Mirrodin
Darksteel	ds	165	Mirrodin
Mirrodin	mi	306	Mirrodin
Scourge	sc	143	Onslaught
Legions	le	145	Onslaught
Onslaught	on	350	Onslaught
Judgment	ju	143	Odissey
Torment	tr	143	Odissey
Odyssey	od	350	Odissey
Apocalypse	ap	148	Invasion
Planeshift	ps	143	Invasion
Invasion	in	355	Invasion
Prophecy	pr	143	Masquerade
Nemesis	ne	143	Masquerade
Mercadian Masques	mm	350	Masquerade
Urza's Destiny	ud	143	Artifacts
Urza's Legacy	ul	143	Artifacts
Urza's Saga	us	350	Artifacts
Exodus	ex	143	Rath
Stronghold	sh	143	Rath
Tempest	tp	350	Rath
Weatherlight	wl	167	Mirage
Visions	vi	167	Mirage
Mirage	mr	350	Mirage
Homelands	hl	140	Early Sets
Fallen Empires	fe	187	Early Sets
The Dark	dk	119	Early Sets
Legends	lg	310	Early Sets
Antiquities	aq	100	Early Sets
Arabian Nights	an	92	Early Sets
Magic 2010	m10	249	Core Set Editions
Tenth Edition	10e	383	Core Set Editions
Ninth Edition	9e	350	Core Set Editions
Eighth Edition	8e	350	Core Set Editions
Seventh Edition	7e	350	Core Set Editions
Classic Sixth Edition	6e	350	Core Set Editions
Fifth Edition	5e	449	Core Set Editions
Fourth Edition	4e	378	Core Set Editions
Revised Edition	rv	306	Core Set Editions
Unlimited Edition	un	302	Core Set Editions
Limited Edition Beta	be	302	Core Set Editions
Limited Edition Alpha	al	295	Core Set Editions
Friday Night Magic	fnmp	120	Tournaments Rewards
